p_mois,p_vol,p_ash,p_car,p_sul,u_car
17.73,33.55,27.56,21.17,2.4,38.28
16.2,33.69,29.48,20.64,2.7,37.57
14.72,34.01,29.68,21.6,2.8,38.81
12.3,33.31,36.1,18.31,3.17,36.28
12.33,33.79,31.12,22.77,3.72,39.74
12.45,35.09,30,22.48,3.51,40.8
9.25,33.86,36.44,20.46,3.25,37.64
11.05,34.19,32.42,22.34,3.31,39.63
11.99,35.09,30.85,22.08,3.51,40.38
9.72,34.01,36.38,19.9,3.08,37.5
9.92,35.71,31.13,23.25,3.44,41.98
9.18,35.14,33.47,22.22,3.89,40.55
9.73,33.95,35.44,20.89,3.21,38.09
9.63,35.82,33.62,20.95,4.44,39.93
8.3,34.07,36.8,20.84,3.77,38.24
9.75,34.65,32.87,22.74,3.7,40.44
12.62,33.06,34.59,19.74,4.03,36.53
11.72,32.63,37.27,18.39,3.58,34.83
13.81,35.02,32.36,18.82,3.86,38.08
11.32,36.18,34.05,18.46,3.7,37.49
12.44,33.33,35.63,18.62,3.22,35.65
12.66,34,36.12,17.22,3.58,35.56
14.85,33.74,32.94,18.47,4.29,36.03
15.14,34.87,32.76,17.23,4.32,35.58
14.11,33.26,31.37,21.26,3.35,38.25
15.09,33.89,32.41,18.61,3.47,36.45
14.72,33.14,36.03,16.11,4.07,34.03
13.66,34.11,34.09,18.14,3.91,36.42
13.84,33.95,34.4,17.81,3.47,35.95
14.59,33.21,34.55,17.65,3.95,35.27
14.34,34.13,32.7,18.83,3.6,36.78
15.45,33.05,30.85,20.65,3.2,37.51
14.5,33.95,31.89,19.66,3.37,37.3
15.19,33.25,31.72,19.84,3.68,36.72
14.8,33.29,33.11,18.8,3.89,36.52
13.51,34.3,36.82,15.37,4,34.38
15.2,33.46,32.61,18.73,3.56,36.54
13.75,33.84,34.84,17.57,4.33,36.2
12.63,32.08,36.86,18.43,3.39,35.14
12.68,32.23,36.22,18.87,3.13,35.52
12.8,32.44,36.95,17.81,3.26,34.87
13.48,33.22,33.91,19.39,3.65,36.47
15.36,32.87,31.05,20.72,3.88,37.64
13.52,33.49,35,17.99,3.82,36.2
12.48,32.36,37.41,17.75,2.84,34.6
13.07,34.5,36.12,16.31,4.14,35.21
14.35,32.51,32.8,20.34,3.22,36.68
13.23,33.3,34.98,18.49,3.02,36.07
13.66,33.2,35.55,17.59,4.02,35.33
13.21,33.05,35.7,18.04,3.28,35.45
14.73,33.06,32.18,20.03,3.3,37.01
13.37,33.87,36.57,16.19,3.17,34.24
15.36,32.97,30.94,20.73,3.27,37.95
12.8,33.17,34.75,19.28,3.38,36.69
13.93,33.9,30.81,21.36,2.85,38.74
13.31,34.75,27.74,24.2,4.61,42.22
12.56,33.86,34.41,19.17,4.69,37.37
12.61,34.08,35.19,18.12,4.56,36.87
16.44,34.75,26.24,22.57,3.41,40.26
14.42,34,27.93,23.65,3.71,39.04
14.18,35.34,26.61,23.87,2.8,41.89
14.13,33.05,31.32,21.5,2.76,36.26
15.71,33.88,27.04,23.37,3.08,40.2
13.24,34.07,29.93,22.76,3.3,39.78
13.22,32.92,33.42,20.44,2.88,37.28
13.81,33.55,29.86,22.78,3.22,39.65
14.44,34.58,23.9,27.08,3.65,44.02
13.04,32.64,34.23,20.09,3.38,36.77
14.46,33.23,31,21.31,3.6,38.1
12.86,33.61,32.34,21.19,3.53,38.19
12.38,32.82,32.73,22.07,3.7,38.51
12.77,32.69,33.62,20.92,3.84,37.73
11.56,33,37.34,18.1,4.5,35.42
11.5,34.91,31.05,22.54,3.67,41.14
9.75,35.06,33.21,21.98,3.54,39.67
11.32,35.45,28.56,24.67,3.08,42.73
10.3,35.58,31.23,22.89,3.33,40.86
10.83,34.86,32.51,21.8,3.3,39.56
11.46,33.67,28.95,25.92,3.52,42.55
8.46,36.09,32.24,23.21,3.68,41.2
9.52,36.19,30.7,23.59,3.27,42.21
9.8,35.49,30.29,24.42,3.13,42.68
10.45,34.93,30.98,23.64,3.06,41.75
10.18,35.78,31.54,22.5,3.42,40.84
9.21,34.72,34.33,21.74,2.78,39.16
9.04,35.93,29.45,25.58,3.21,44.39
8.82,35.14,30.64,25.4,2.98,42.67
11.38,35.78,26.95,25.89,3.09,44.22
11.11,35.79,27.74,25.36,3.11,43.23
12.14,36,28.23,23.63,3,42.31
10.27,36.11,31.08,22.54,3.29,41.83
11.25,35.45,30.57,22.73,3.05,40.87
9.31,35.2,33.53,21.96,3.33,40.51
12.52,33.4,33.25,20.83,3.88,38.56
10.31,33.81,35.66,20.22,3.3,37.26
13.63,33.16,32.02,21.19,3.66,38.01
9.61,32.18,39.63,18.58,3.98,35.24
13.79,34.56,28.86,22.79,3.26,40.55
13.5,35.11,32.91,18.48,3.44,37.28
16.15,33.42,29.1,21.33,3.14,38.5
15.81,34.26,26.8,23.13,3.02,41.52
15.01,33.26,31.32,20.41,3.06,38.26
16.49,33.23,30.45,19.83,3.49,37.32
14.36,32.81,33.52,19.31,3.09,36
18.38,35.07,23.19,23.36,2.97,40.6
16.08,34.27,28.26,21.39,3.63,39.16
16.77,34.2,24.44,24.59,2.87,41.34
14.05,34.58,29.41,21.96,2.54,39.11
15.79,33.02,29.95,21.24,2.94,38.17
13.76,34.04,31.92,20.28,2.72,37.57
13.93,33.78,30.73,21.56,2.79,38.69
14.96,35,26.77,23.27,2.4,40.82
15.13,35.13,25.52,24.22,2.6,41.92
19.25,34.55,20.56,25.64,2.35,42.92
15.37,32.49,31.39,20.75,3.54,37.62
17.3,33.87,25.7,23.13,2.8,40.38
16.57,33.7,27.11,22.62,3.05,39.64
10.42,36.37,30.16,23.05,2.89,41.67
15.57,35.09,26.22,23.12,3.74,41.29
14.54,35.69,30.76,19.02,3.92,38.43
13.49,35.63,29.94,20.94,4.73,39.37
13.81,35.49,32.6,18.12,3.71,37.62
13.63,35.69,32.18,18.51,4.04,37.43
13.96,35.37,32.29,18.39,2.84,37.6
16.04,34.44,32.26,17.27,3.36,36.39
13.87,34.87,34.15,17.11,3.68,36.06
13.87,34.87,34.15,17.11,3.68,35.51
14.85,34.46,33.59,17.11,3.69,35.73
14.85,34.46,33.59,17.11,3.69,35.81
14.85,34.46,33.59,17.11,3.69,34.92
14.85,34.46,33.59,17.11,3.69,35.7
14.26,35.15,34.86,15.74,3.7,34.27
14.26,35.15,34.86,15.74,3.7,35.26
14.26,35.15,34.86,15.74,3.7,34.21
14.39,34.84,34.74,16.04,3.44,34.86
14.39,34.84,34.74,16.04,3.44,35.39
14.39,34.84,34.74,16.04,3.44,35.3
14.39,34.84,34.74,16.04,3.44,35.69
13.68,34.62,34.72,16.99,2.55,35.99
15.27,33.95,31.13,19.66,3.34,36.9
15.16,33.8,31.57,19.48,3.15,36.34
16.04,34.6,26.68,22.69,2.61,39.88
16.99,34.98,23.88,24.16,2.78,41.4
14.15,35.28,26.36,24.22,2.56,41.29
14.72,35.1,26.6,23.59,2.58,40.99
13.26,35.55,28.8,22.41,2.94,40.37
10.34,32.08,35.88,21.7,3.6,37.23
12.72,34.97,27.78,24.53,2.89,41.68
13.27,35.45,28.35,22.94,2.86,41.21
12.78,35.12,28.1,24.01,2.94,41.31
12.95,35.99,28.09,22.99,3.31,41.59
12.11,37.52,30.36,20.02,4.06,40.41
12.71,36.04,29.36,21.9,3.63,40.19
11.84,36.21,27.87,24.09,3.41,42.17
13.81,35.52,27.61,23.07,3.18,40.97
11.32,36.8,29.12,22.77,2.75,41.22
11.34,37.15,27.04,24.48,2.78,43.61
11.32,36.59,26.28,25.83,2.87,43.85
11.17,37.31,24.92,26.61,2.93,44.88
13.96,36.95,20.27,28.83,2.9,47.63
14.02,36.54,19.18,30.27,2.93,48.28
9.61,35.65,31.19,23.57,2.9,40.85
10.1,35.19,33.43,21.29,3.41,39.15
9.71,34.84,34.49,20.97,3.33,39.6
9.85,36.23,26.43,27.5,2.87,45.04
10.12,36.5,26.56,26.83,2.63,44.71
11.22,38.76,19.98,30.05,2.53,49.11
10.42,38.28,23.22,28.09,2.57,47.28
10.26,36.85,25.81,27.09,2.9,45.44
9.5,37.89,26.51,26.11,2.92,46.37
9.75,39.02,26.74,24.5,3.1,44.61
8.9,39.68,29.66,21.76,3.21,42.56
9.06,37.11,28.17,25.67,3.16,44.64
8.91,37.15,28.96,24.99,3.42,44.53
11.16,38.23,21.37,29.25,2.77,48.26
10.65,38.62,25.78,24.96,2.84,44.32
9.32,33.48,38.69,18.52,3.51,36.26
12.12,38.09,22.26,27.54,2.89,45.91
11.26,37.87,23.58,27.3,2.72,45.51
12.28,38.05,19.8,29.88,2.73,48.71
10.07,38.56,20.37,31.01,3.5,50.43
11.98,37.85,18.32,31.86,3.15,50.15
9.32,36.27,31.1,23.32,3.91,42.13
10.07,33.34,36.28,20.32,3.21,37.21
12.55,34.67,32.75,20.03,3.83,36.76
14.48,35.15,29.13,21.26,2.09,40.15
14.48,35.15,29.13,21.26,2.09,40.53
12.6,34.01,31.04,22.35,1.89,40.25
10.58,33.75,37.14,18.54,3.51,36.07
13.4,32.97,33.36,20.27,3.22,36.82
12.37,34.21,32.92,20.51,3.27,38.31
14.33,34.79,28.07,22.81,3.13,40.43
11.47,36.49,30.13,21.92,3.83,40.74
12.41,35.52,27.99,24.08,2.77,42.26
11.84,35.63,31.06,21.48,3.35,39.76
12.54,33.8,34.48,19.19,3.03,34
15.78,36.86,19.75,27.63,2.66,46.4
14.89,36.46,21.83,26.83,3.22,45.14
14.05,37.38,23.13,25.45,3.33,44.27
14.35,37.55,23.07,25.04,2.59,42.93
11.68,37.38,27.12,23.83,3.05,42.36
11.68,37.38,27.12,23.83,3.05,42.05
12.4,37.35,26.84,23.43,3.06,42.1
12.4,37.35,26.84,23.43,3.06,42.4
12.4,37.35,26.84,23.43,3.06,42.06
13.14,36.94,28.74,21.19,2.9,39.41
12.41,38.04,26.29,23.26,2.98,41.65
12.96,37.54,23.34,26.17,2.72,43.44
13.63,36.45,26.71,23.22,2.85,41.46
13.37,37,25.21,24.43,3.39,43.03
12.43,38.95,19.78,28.85,2.49,48.33
12.87,36.97,25,25.16,2.67,42.54
13.35,36.53,26.41,23.72,2.84,41.7
13.46,36.42,25.72,24.41,2.7,42
13.58,36.69,24.69,25.05,3.08,43.34
15.11,36.21,25.25,23.44,3.1,41.66
17,35.76,23.98,23.27,3.11,41.64
13.18,37.34,26.1,23.39,2.66,42.2
11.76,37.12,29.04,22.1,3.33,42.14
13.5,37.02,23.36,26.13,2.3,43.7
14.55,36.06,24.49,24.91,2.8,42.68
15.4,35.88,23.27,25.46,2.61,43.14
16.8,35.18,23.96,24.06,2.51,40.64
16.92,34.8,23.62,24.66,3.04,42.18
17.34,34.26,24.47,23.93,2.65,40.67
17.29,34.71,24.3,23.7,2.99,41.1
15.71,35.92,24.3,24.07,2.98,41.6
15.7,35.58,24.49,24.23,3.18,41.66
13.47,35.66,31.66,19.21,3.72,38.07
15.98,34.73,25.91,23.38,2.91,40.93
13.39,34.01,33.14,19.46,3.19,36.48
13.52,33.83,32.27,20.38,3.06,37.17
14.06,34.45,31.84,19.65,3.41,37.81
11.75,35.89,36.56,15.8,4.25,36.33
12.64,35.56,33.23,18.57,3.75,37.41
15.53,33.92,31.18,19.37,3.79,37.47
14.27,35.69,30.13,19.91,3.26,38.78
14.36,34.01,32.56,19.07,3.06,36.66
13.68,34.96,33.81,17.55,3.67,36.28
15.03,34.47,31.13,19.37,3.46,37.35
15.42,34.75,29.54,20.29,3.39,38.84
14.31,35.89,29.88,19.92,2.93,38.4
14.81,34.58,28.26,22.35,2.98,39.43
13.95,35.18,28.11,22.76,3.41,40.92
13.59,35.26,30.19,20.96,2.6,38.33
13.71,35.15,29.31,21.83,3.06,39.39
14.05,34.84,31.39,19.72,2.48,37.24
15.17,34.24,27.55,23.04,3.25,40.78
13.97,35.5,28.96,21.57,3.17,40.09
14.63,34.11,28.7,22.56,3.18,39.95
12.9,34.08,31.17,21.85,3.01,39.53
13.77,33.94,30.33,21.96,3.12,39.23
13.88,34.3,29.51,22.31,2.96,39.66
13.92,34.3,27.36,24.42,3.28,40.47
11.5,34.88,31.88,21.74,3.4,39.98
12.65,35.46,28.28,23.61,3.65,41.97
12.34,35.52,29.27,22.87,3.55,41.48
12.5,34.91,30.37,22.22,3.35,40.61
13.05,35.35,26.95,24.65,3.65,42.97
12.2,33.48,31.2,23.12,2.92,39.8
11.88,34.54,28.44,25.14,3.62,42.28
10.73,35.95,29.19,24.13,3,42.28
10.06,34.38,29.42,26.14,3.64,42.55
11.8,34.73,32.39,21.08,3.7,39.28
10.23,36.37,29.37,24.03,3.4,42.77
10.43,36.44,29.8,23.33,3.45,42.13
11.77,36.76,26.81,24.66,3.14,42.9
9.75,36.5,31.06,22.69,2.96,41.19
10.69,36.26,29.27,23.78,3.25,41.95
11.98,37.36,25.09,25.57,3.36,44.37
11.81,35.5,30.21,22.48,3.23,40.94
11.5,36.15,26.21,26.14,3.17,43.92
11.45,38.19,18.34,32.02,2.55,49.76
9.5,37.56,26.17,26.77,3.06,45.02
10.72,37.38,26.45,25.45,3.45,45.48
12.21,37.13,25.53,25.13,3.28,44.63
10.48,36.02,28.47,25.03,3.09,43.36
10.5,35.39,30.49,23.62,3.02,42.23
11.12,35.32,29.3,24.26,3.87,42.09
16.11,35.34,24.9,23.65,3.07,41.77
13.53,33.1,34.02,19.35,3.18,36.08
10.91,35.28,30.57,23.24,3.72,41.39
13.71,35.61,26.94,23.74,3.13,42.15
13.07,36.95,28.68,21.3,3.33,41.16
16.24,35.28,26.27,22.21,3.2,40.79
16.09,33.78,27.09,23.04,3.5,40.79
17.41,35.06,22.45,25.08,3.12,42.84
15.91,36.03,20.13,27.93,3.54,47.38
16.5,35.01,23.79,24.7,2.41,42.58
15.42,33.95,29.09,21.54,2.8,38.9
16.21,35.41,21.36,27.02,2.78,44.85
16.79,35.19,25.23,22.79,2.58,40.48
17.28,35.27,22.54,24.91,2.23,42
17.61,33.67,24.3,24.42,2.9,40.92
15.81,34.49,26.63,23.07,3.09,40.21
14.55,33.8,30.52,21.13,3.16,38.42
14.56,35.36,25.55,24.53,2.72,42.11
16.07,35.61,20.41,27.91,2.37,44.49
16.41,35.83,21.67,26.09,2.63,43.82
17.89,34.45,22.04,25.62,2.89,42.97
18.18,34.7,20.89,26.23,2.85,43.72
16.62,33.36,25.95,24.07,2.91,40.3
10.75,38.16,24.38,26.71,2.83,45.97
15.48,34.18,30.92,19.43,3,37.18
14.21,34.48,28.49,22.84,2.83,40.11
12.62,34.55,32.51,20.33,2.75,38.27
10.89,34.32,33.22,21.58,3.59,38.99
12.76,35.46,30.7,21.09,3.49,40.04
12.4,37.35,27.51,22.75,3.45,42.4
8.97,35.91,32.35,22.78,3.8,42.03
9.39,33.23,39.69,17.7,3.18,34.47
9.38,36.27,35.51,18.85,3.99,38.45
8.28,34.2,36.61,20.92,3.55,38.54
10.51,36.79,30.88,21.83,3.77,41.53
12.62,34.55,32.67,20.18,3.96,38.2
12.66,34.42,35.35,17.58,2.16,36.32
13.97,35.83,29.49,20.73,3.94,40.17
11,34.67,34.34,20,3.27,37.49
12.19,34.93,33.24,19.65,3.24,37.5
13.35,34.77,31.91,19.98,3.32,37.92
15.08,33.54,32.34,19.04,4.21,36.46
15.43,34.91,28.92,20.74,3.54,38.04
13.23,36.39,30.27,20.11,4.06,40.26
13.82,33.56,34.46,18.16,3.54,36.18
14.32,33.17,33.91,18.6,3.51,35.7
12.34,34.23,35.75,17.68,2.99,35.43
11.5,33.89,36.73,17.88,2.85,34.81
13.17,33.34,33.54,19.95,3.14,37.5
12.23,33.61,36.63,17.53,3.19,34.47
13,36.05,34.95,16,4.03,36.32
13.89,33.67,35.41,17.03,3.23,34.63
15.41,33.91,30.05,20.63,3.23,38
14.02,33.7,33.28,19,3.05,36.51
13.82,33.24,31.45,21.49,3.08,38.65
13.32,34.09,30.79,21.8,3.51,39.72
13.38,34.66,29.52,22.44,3.32,41.31
11.46,34.37,31.92,22.25,3.33,39.76
14.98,33.98,28.24,22.8,3.46,39.47
13.73,33.45,31.91,20.91,3.47,35.96
13.46,34.31,29.07,23.16,3.62,40.98
14.03,35.64,28.04,22.29,3.8,41.34
12.79,35.08,29.06,23.07,3.85,41.11
13.18,33.71,31.58,21.53,3.92,39.11
11.75,33.75,33.38,21.12,3.44,39.13
12.8,35.32,28.27,23.61,3.35,41.89
9.88,35.28,34.74,20.1,3.27,38.58
12.04,36.87,28.34,22.75,3.36,41.88
9.44,37,30.37,23.19,3.68,42.95
9.24,35.63,33.59,21.54,2.83,39.5
9.61,36.67,28.77,24.95,2.85,43.45
10.14,37.27,24.85,27.74,3.06,47.38
9.04,35.5,28.34,27.12,3.06,45.12
10.52,36.75,28.07,24.66,2.87,43.62
11.39,37.7,23.96,26.95,3.25,46.66
11.86,38.05,25.04,25.05,2.81,45.09
10.6,36.2,31.8,21.4,3.13,40.52
10.37,36.37,28.02,25.24,2.89,43.69
10.28,34.8,32.92,22,3.31,40.85
10.13,36.37,28.68,24.82,2.95,43.14
13.23,34.85,29.82,22.1,3.33,40.7
12.64,36.57,29.48,21.31,3.13,41.19
12.79,36.45,30.99,19.77,3.31,39.41
15.14,35.02,27.75,22.09,3.46,40.13
16.89,33.36,26.63,23.12,3.27,39.99
16.11,34.18,26.41,23.3,3.46,41.41
16.77,34.66,24.7,23.87,3.52,41.54
15.37,36,21.66,26.97,2.3,45.11
15.71,34.92,27.66,21.71,3,39.49
14.27,33.84,29.48,22.41,2.86,39.39
17.61,34.12,23.68,24.59,2.52,41.46
15.73,34.66,27.11,22.5,2.58,39.89
15.36,35.59,25.34,23.71,3.03,41.63
14.18,35.17,26.89,23.76,2.61,40.96
16.45,33.66,28.1,21.79,2.71,38.41
13.82,32.66,33.69,19.83,2.85,36.35
14.57,35.38,25.26,24.79,2.52,41.85
14.88,35.27,25.39,24.46,2.65,41.73
17.25,34.29,26.09,22.37,2.93,40.65
15.65,34.61,26.87,22.87,2.94,40.73
16.28,34.95,24.35,24.42,2.94,42.35
10.15,37.78,27.35,24.72,3.03,43.71
16.9,34.65,27.6,20.85,2.88,38.92
15.73,34.41,30.87,19,3.09,36.37
14.33,34.9,28.84,21.94,2.8,39.77
12.32,34.68,33.84,19.17,2.7,37.07
11.01,34.57,33.36,21.07,3.76,38.99
12.69,35.21,32.08,20.02,3.6,39.06
10.99,32.56,35.98,20.48,3,36.93
9.64,35.33,31.42,23.62,3.04,41.2
11.78,35.47,31.18,21.58,3.62,39.92
10.25,35.54,31.88,22.34,3.1,40.35
9.54,36.6,33.64,20.23,3.87,39.99
8.63,36.23,31.56,23.59,3.95,42.89
9.94,33.47,38.13,18.46,3.36,35.93
14.05,34.95,32.18,18.83,4.27,38.23
11.36,34.98,31.77,21.89,3.15,39.2
11.93,35.24,33.14,19.7,3.19,37.88
13.67,35.56,30.66,20.11,3.14,38
14.75,35,30.94,19.31,4.2,38.25
16.33,35.48,27.41,20.78,3.49,38.28
13.04,34.2,34.36,18.4,3.79,37.07
14.21,32.89,34.38,18.52,3.39,36.09
14.57,34.7,32.39,18.34,3.6,36.75
11.74,33.82,36.35,18.09,2.96,35.09
13.33,34.45,32,20.22,3.19,38.45
12.88,34.6,33.57,18.95,3.34,36.61
12.68,35.25,33.53,18.54,2.92,38.09
14.21,35.52,28.44,21.83,3.21,40.25
13.49,34.26,32.94,19.31,3.02,37.37
14.32,33.39,31.34,20.95,3.08,38.4
13.36,34.56,30.28,21.8,3.49,39.76
13.31,34.95,28.84,22.9,3.37,41.05
10.61,34.08,34.75,20.56,3.08,37.76
14.98,33.86,28.82,22.34,3.73,38.6
14.1,33.66,30.74,21.5,3.46,35.93
13.98,34.6,28.68,22.74,3.68,40.63
14.19,35.46,27.86,22.49,3.56,41.41
13.04,35.55,28.85,22.56,4.05,41.31
12.96,33.76,31.71,21.57,4.35,39.21
11.45,33.87,32.6,22.08,3.46,39.78
12.19,33.09,29.86,24.86,3.45,40.97
9.5,35.89,31.14,23.47,3.38,41.87
10.3,36.06,31.25,22.39,3.53,41.66
9.15,35.62,28.31,26.92,3.08,45.14
10.34,36.66,27.91,25.09,2.87,44.25
12.72,37.7,25.2,24.38,2.81,45.53
12.32,36.47,26.42,24.79,2.95,43.74
9.95,36.67,28.81,24.57,2.71,43.2
10.18,36.02,28.64,25.16,3.18,43.69
11.63,35.7,26.79,25.88,3.34,43.78
15.68,36.27,25.41,22.64,3.17,41.78
13.66,34.07,31.89,20.38,3.31,37.83
11.34,35.26,30.25,23.15,3.68,41.47
13.16,34.67,31.5,20.67,3.58,39.12
13.31,35.91,26.55,24.23,3.15,42.9
13.2,35.78,31.08,19.94,3.39,39.3
15.42,35.13,27.02,22.43,3.77,40.72
17.05,34.04,26.03,22.88,3.21,40.77
16.8,34.59,25.19,23.42,3.54,41.93
16.48,34.77,24.72,24.03,3.39,41.67
15.91,35.04,22.09,26.96,2.42,44.7
15.63,34.44,26.4,23.53,3.25,41.95
14,33.95,29.37,22.68,2.99,40.12
16.05,33.98,28.15,21.82,2.52,41.48
15.66,35.11,26.37,22.86,2.7,40.75
13.8,32.69,32.62,20.89,2.8,37.26
14.71,35.23,25.38,24.68,2.93,42.38
14.73,35.37,24.46,25.44,2.54,42.63
14.85,35.53,26,23.62,2.63,41.5
17.66,34.24,25.11,22.99,2.92,40.71
15.89,33.88,26.81,23.42,3.04,40.84
17.33,34.88,22.9,24.89,2.83,42.34
9.94,37.7,29.81,22.55,3.18,41.96
